unique_id,STATE10,COUNTY10,TRACT10,GEOID10
1,17,7,10601,17007010601
2,17,7,10602,17007010602
3,17,19,301,17019000301
4,17,19,302,17019000302
5,17,19,401,17019000401
6,17,19,402,17019000402
7,17,19,5401,17019005401
8,17,19,5402,17019005402
9,17,19,5701,17019005701
10,17,19,5702,17019005702
11,17,19,10204,17019010204
12,17,19,10603,17019010603
13,17,19,10604,17019010604
14,17,19,11000,17019011000
15,17,19,11100,17019011100
16,17,27,900401,17027900401
17,17,27,900402,17027900402
18,17,27,900601,17027900601
19,17,27,900602,17027900602
20,17,31,10201,17031010201
21,17,31,10202,17031010202
22,17,31,10501,17031010501
23,17,31,10502,17031010502
24,17,31,10503,17031010503
25,17,31,10701,17031010701
26,17,31,10702,17031010702
27,17,31,20301,17031020301
28,17,31,20302,17031020302
29,17,31,20601,17031020601
30,17,31,20602,17031020602
31,17,31,20701,17031020701
32,17,31,20702,17031020702
33,17,31,20801,17031020801
34,17,31,20802,17031020802
35,17,31,20901,17031020901
36,17,31,20902,17031020902
37,17,31,30101,17031030101
38,17,31,30102,17031030102
39,17,31,30103,17031030103
40,17,31,30104,17031030104
41,17,31,30601,17031030601
42,17,31,30603,17031030603
43,17,31,30604,17031030604
44,17,31,30701,17031030701
45,17,31,30702,17031030702
46,17,31,30703,17031030703
47,17,31,30706,17031030706
48,17,31,31501,17031031501
49,17,31,31502,17031031502
50,17,31,40201,17031040201
51,17,31,40202,17031040202
52,17,31,40401,17031040401
53,17,31,40402,17031040402
54,17,31,61901,17031061901
55,17,31,61902,17031061902
56,17,31,63301,17031063301
57,17,31,63302,17031063302
58,17,31,63303,17031063303
59,17,31,70101,17031070101
60,17,31,70102,17031070102
61,17,31,70103,17031070103
62,17,31,80201,17031080201
63,17,31,80202,17031080202
64,17,31,81201,17031081201
65,17,31,81202,17031081202
66,17,31,81401,17031081401
67,17,31,81402,17031081402
68,17,31,81403,17031081403
69,17,31,110400,17031110400
70,17,31,110501,17031110501
71,17,31,110502,17031110502
72,17,31,140301,17031140301
73,17,31,140302,17031140302
74,17,31,140601,17031140601
75,17,31,140602,17031140602
76,17,31,140701,17031140701
77,17,31,140702,17031140702
78,17,31,150401,17031150401
79,17,31,150402,17031150402
80,17,31,150501,17031150501
81,17,31,150502,17031150502
82,17,31,151001,17031151001
83,17,31,151002,17031151002
84,17,31,160501,17031160501
85,17,31,160502,17031160502
86,17,31,160601,17031160601
87,17,31,160602,17031160602
88,17,31,190401,17031190401
